block_height,timestamp,block_interval_s,plot_size_bytes,deadline_s,commitment_ratio,capacity_multiplier,energy_wh,tx_throughput,disk_io_efficiency,deadlock_probability,network_difficulty,gini_coefficient,active_miners,energy_joules,effective_capacity_tib,read_time_s
0,2024-01-01 00:00:00+00:00,112.62434159444618,8766396.742497014,31.66041677100154,0.19224695215011944,0.19224695215011944,0.33667614428609366,1080.8915479818202,0.5929296881043314,0.0029055670770926625,0.9873432136096117,0.5266688325803737,370.0,1212.0341194299372,1.5327832944274509e-06,0.0021915991856242536
1,2024-01-01 00:01:52+00:00,722.429143420205,5118834.804920529,5.73880085681873,0.26132179472573563,0.26132179472573563,0.3364988322474614,438.9175716259879,0.5954426983411693,0.0008063670282539072,1.036143189926614,0.5175460198763637,375.0,1211.395796090861,1.2165975005031155e-06,0.0012797087012301322
2,2024-01-01 00:13:55+00:00,316.01896645090784,9266001.257645337,348.46280498300024,0.24838056589308485,0.24838056589308485,0.33670043061669114,1370.9833539643296,0.5667446214757726,0.005178575178858954,1.0440498581267927,0.49218817506556994,359.0,1212.121550220088,2.0931971775462303e-06,0.002316500314411334
3,2024-01-01 00:19:11+00:00,219.1062129062288,13791607.649558906,45.179016678326,0.15723184549977123,0.15723184549977123,0.33692042537185346,899.6133346795359,0.5885024604147681,0.0020237579206608307,1.0418707198969583,0.5277701224232374,356.0,1212.9135313386726,1.9722210010048994e-06,0.0034479019123897264
4,2024-01-01 00:22:50+00:00,40.709968910963106,12321024.561582029,70.13429657901183,0.27279016068190337,0.27279016068190337,0.33684893869396576,651.2067185678902,0.8223098420846496,0.0012323656199340993,1.021312804860202,0.5316201548941117,340.0,1212.6561792982768,3.05686105086319e-06,0.0030802561403955073
5,2024-01-01 00:23:30+00:00,40.70311005950524,11923056.1902251,14.611304796787774,0.11373861358334492,0.125,0.3368295930092471,2770.286460066503,0.7121369650203544,0.07875189251431713,1.0011598464364637,0.5333730538381437,345.0,1212.5865348332895,1.3554945542438304e-06,0.0029807640475562752
6,2024-01-01 00:24:11+00:00,14.361304466083363,9640954.86079027,217.62491426558026,0.276900113911609,0.276900113911609,0.3367186575279551,731.2220828369119,0.7137620330533658,0.001445929646448366,0.9788227595125353,0.5072059663612205,326.0,1212.1871671006384,2.4279702294456967e-06,0.0024102387151975673
7,2024-01-01 00:24:25+00:00,482.69540747518545,7144257.772947773,3.3624928147241877,0.39449436822412776,0.39449436822412776,0.3365972903084072,610.6294030576635,0.7714331489591995,0.001136413244419166,1.0028689531199049,0.5008040545849856,360.0,1211.750245110266,2.563292088388467e-06,0.0017860644432369434
8,2024-01-01 00:32:28+00:00,220.57971687054348,12238741.3720499,215.48542106022663,0.14271613295647187,0.14271613295647187,0.33684493881669686,497.7691901888702,0.7608227119042342,0.0009069991632846954,1.0009232431422208,0.515864142166606,365.0,1212.6417797401086,1.5885833280420651e-06,0.003059685343012475
9,2024-01-01 00:36:09+00:00,295.5000148091017,8163994.7609236045,18.138522585798288,0.07775499601447408,0.125,0.33664686085643375,1582.080684894959,0.8209717270367485,0.007877479388390554,1.0064938126595169,0.5251426380784597,370.0,1211.9286990831615,9.281387475452453e-07,0.002040998690230901
10,2024-01-01 00:41:04+00:00,4.991833919793269,20191206.06382688,261.1820964787453,0.3744234823848255,0.3744234823848255,0.33723151696143605,1687.937374152689,0.7206101731419852,0.00971689011376249,0.9831161590501665,0.5105320847163215,364.0,1214.0334610611699,6.875836050283092e-06,0.00504780151595672
11,2024-01-01 00:41:09+00:00,840.8537940379949,12443150.473381402,157.01899084768428,0.3210042659372674,0.3210042659372674,0.33685487537023384,4011.7494360828623,0.674617332885637,0.00971689011376249,1.043997799283361,0.5040456470528749,341.0,1212.6775513328419,3.6327986742023844e-06,0.0031107876183453505
12,2024-01-01 00:55:10+00:00,428.743090405122,8809438.076603087,21.591448425724597,0.3079754038914499,0.3079754038914499,0.3366782365731682,1093.956135889897,0.5791074442543636,0.002982258312960813,1.0638896685092054,0.527197686231863,353.0,1212.0416516634054,2.467541207532625e-06,0.0022023595191507715
13,2024-01-01 01:02:19+00:00,57.28503005974728,8728578.890541753,100.11497538020959,0.1793430603786204,0.1793430603786204,0.3366743059182902,982.0570980661485,0.5511017609861659,0.002385672255147012,1.0446273234565893,0.5164959211797379,367.0,1212.0275013058447,1.4237321474738394e-06,0.0021821447226354385
14,2024-01-01 01:03:16+00:00,48.162957299919206,10197421.39833009,44.99050099535029,0.19985695798134795,0.19985695798134795,0.33674570798464104,595.5672537795438,0.7558708714075735,0.0011027272734540992,1.024778497531945,0.5261698811071203,373.0,1212.2845487447078,1.8535735033985068e-06,0.0025493553495825228
15,2024-01-01 01:04:04+00:00,48.626741479741696,9758781.727404743,23.55581993511223,0.11538069266692805,0.125,0.3367243852228599,1745.4640024897217,0.6366734026874519,0.01088880031288325,1.005353442150397,0.5200979549258554,366.0,1212.2077868022957,1.1094450346041348e-06,0.002439695431851186
16,2024-01-01 01:04:53+00:00,87.0608950705145,14659202.260117166,235.2346102334522,0.3381963428360861,0.3381963428360861,0.33696260010986684,482.87024017626777,0.4868144298721018,0.0008803946350827636,0.9900946374123959,0.5182749352558672,334.0,1213.0653603955207,4.508991508615611e-06,0.0036648005650292918
